lat_max,lon_max,lat_min,lon_min,route_id
45.097179,6.084447,45.081302,6.056519,zenbus:Line:644230082:LOC
45.347099,4.743569,45.241325,4.660531,zenbus:Line:338200001:LOC
45.252445,4.764184,45.170673,4.655529,zenbus:Line:353690001:LOC
45.298301,4.706119,45.241325,4.626599,zenbus:Line:387730001:LOC
45.258632,4.791804,45.212242,4.670347,zenbus:Line:371200001:LOC
45.284797,4.782313,45.241325,4.670347,zenbus:Line:345850001:LOC
45.252445,4.685529,45.223728,4.649496,zenbus:Line:363640001:LOC
45.31665,4.797718,45.241325,4.670347,zenbus:Line:351090001:LOC
45.382762,4.797667,45.241325,4.670347,zenbus:Line:369340002:LOC
45.252445,4.68825,45.175693,4.503205,zenbus:Line:369340001:LOC
45.198644,5.726084,45.192984,5.724519,BUL_1
45.5909225248,5.3529219976,45.4984881138,5.2894702151,CAPI:1131
45.5922975548,5.3042105937,45.5601930641,5.2707337855,CAPI:1141
45.5893641257,5.3102589949,45.4984881138,5.2729376759,CAPI:20
45.5893641257,5.3437069861,45.5146620699,5.2729376759,CAPI:21
45.6378800722,5.2304700707,45.6078599931,5.099320296,CAPI:A
45.6338415782,5.1624700903,45.6073915794,5.1340581608,CAPI:B
45.6150792628,5.2955570137,45.584944637,5.262498082,CAPI:C
45.6230650352,5.2731998401,45.5839478756,5.2113057661,CAPI:E
45.6410573214,5.2729915348,45.5860368526,5.0992599666,CAPI:1390
45.5922975548,5.2955798336,45.5891692235,5.2707337855,CAPI:2091
45.6088955281,5.1946728593,45.5713002744,5.1455298858,CAPI:F
45.6150792628,5.2955798336,45.5839478756,5.262498082,CAPI:AUBRY
45.5893641257,5.374604173,45.5839478756,5.2723940473,CAPI:22
45.6001018676,5.3815830593,45.5783107197,5.2894702151,CAPI:BJA02
45.645233681,5.3536083767,45.5922975548,5.2642299739,CAPI:1021
45.611969869,5.2767660759,45.585692373,5.2644502192,CAPI:ALLEND
45.6001018676,5.3815830593,45.5783107197,5.2707337855,CAPI:BJA01
45.6423692866,5.1749128172,45.6179247831,5.1305803987,CAPI:H
45.6053985008,5.270377679,45.5517207005,5.2124403448,CAPI:HAWK1
45.6212259794,5.2955570137,45.5839478756,5.2197252066,CAPI:M
45.6053985008,5.2236312682,45.5926001573,5.2119402419,CAPI:HAWK4
45.6053985008,5.2555165215,45.5860368526,5.2219494748,CAPI:HAWK5
45.645233681,5.3338469266,45.5839478756,5.2723940473,CAPI:23
45.6053985008,5.2677587725,45.5481412396,5.2095870418,CAPI:HAWK3
45.6053985008,5.2936632781,45.5566104438,5.2219494748,CAPI:HAWK2
45.6410573214,5.2182693241,45.6022998154,5.1356504073,CAPI:CASDEL
45.6227376581,5.3038492683,45.5783107197,5.2182693241,CAPI:D
45.665646197,5.2471305013,45.5967276272,5.0912187673,CAPI:F30
45.5893641257,5.2773240035,45.5489054652,5.2141853615,CAPI:24
45.5955052368,5.2773240035,45.5853871049,5.1919023791,CAPI:25
45.6937588041,5.1516997557,45.6284000953,5.0996463971,CAPI:26
45.605766545,5.3029406681,45.5928585197,5.2806387005,CAPI:ECOLPB
45.6457410204,5.2552611107,45.5488337697,5.0965464313,CAPI:F30S
45.6548493071,5.157372902,45.6089256376,5.1136038219,CAPI:F31
45.6053985008,5.2315485601,45.5991459716,5.2219494748,CAPI:HAWK6
45.6155075621,5.2944234146,45.5893164249,5.2642299739,CAPI:MOZAS
45.605766545,5.3029406681,45.5710970683,5.2723940473,CAPI:PBVH
45.6276202585,5.2182693241,45.5993774206,5.1513198893,CAPI:MARIE
45.6400803731,5.2182693241,45.6227376581,5.1356504073,CAPI:DEL01
45.5922975548,5.3064468968,45.5327880554,5.2707337855,CAPI:NIV01
45.6155075621,5.2944234146,45.590891228,5.262498082,CAPI:VEIROS
45.645233681,5.3116445802,45.6270694952,5.3010481004,CAPI:PSAVA
45.5627966338,5.224143598,45.5472307721,5.2234664301,CAPI:PCRAA
45.6937588041,5.1512802145,45.6284000953,5.11117819,CAPI:VER04
45.6932447336,5.1434679611,45.6684121356,5.11117819,CAPI:SATOLA
46.1490907142,6.6247341973,46.0609252959,6.5825810565,23238
46.3793276458,6.7676208502,46.1326511489,6.4804872565,23236
46.1076074671,6.7737047823,46.053751575,6.5825810565,23239
46.1108335955,6.1200877985,45.9013631849,5.8202436035,23219
46.0608747014,6.927351246,45.889684641,6.5825488147,23517
46.3793276458,6.5651101975,46.2482799663,6.469997759,23242
46.1960221255,6.7676208502,46.0609252959,6.5825810565,23237
45.9954576255,6.1200931197,45.9013585024,5.836621331,23218
45.9510008081,6.7302893112,45.8124091606,6.6297875526,23234
46.1991122419,6.2466863054,46.1386684047,6.0700750624,23216
46.2302371843,6.1340191249,45.9013631849,6.0780009902,23259
45.9413478372,6.4254995929,45.883008844,6.1200877985,23229
45.9510008081,6.6475117743,45.8326684723,6.5566742653,23233
45.9413320555,6.4255000293,45.8705904331,6.1200877985,23228
45.9510008081,6.6401699279,45.9180201187,6.6078474139,23626
45.9310492521,6.866669302,45.8326684723,6.5566742653,23232
46.1459752114,6.086007698,46.0189522805,5.9331218035,23217
46.3012821827,6.7737153423,46.0537421483,6.2377840958,23240
46.3871708891,6.4208649775,45.6696310867,6.1200877985,23225
46.3012821827,6.5316834412,46.1419236252,6.2377563454,23243
45.9512679161,6.7390824458,45.9038263914,6.6297875526,23235
46.2302371843,6.866669302,45.9049822126,6.1094579796,23261
46.0040555749,5.1740223076,45.9802130945,5.028476389,101
46.1121878455,4.8042229823,45.888050684,4.7295207892,113
46.3047593226,4.8919634712,46.1004777329,4.7295207892,114
46.3047593226,5.2314425063,46.1982388785,4.8252730068,118
46.2074205785,5.2282240453,45.9400368834,4.7202589895,119
46.2074205785,5.2282240453,46.0750270647,4.7295207892,120
46.2074205785,5.4102899554,45.9541025451,5.2282240453,122
46.2074205785,5.3423163318,45.9541025451,5.2248186787,127
46.0848501357,5.4068663557,45.9019179219,5.1883815782,129
46.2074205785,5.2282240453,45.759105783,4.8375365412,132
46.1213509305,5.028476389,46.0040555749,4.9578814054,102
46.1430460206,5.8315090429,45.9625468304,5.7575651796,133
46.1948523572,5.9719197245,46.0915367247,5.8176634898,136
46.1713281016,5.6027421455,45.9541025451,5.3423163318,137
45.9878848763,5.6196922538,45.9190530902,5.3423163318,140
46.0056253265,5.8132590192,45.7582603955,5.6887666206,143
45.9043066577,5.6989837255,45.7583384793,5.6399557138,145
46.0610509617,5.6989837255,45.7583384793,5.5746230163,147
46.3939066193,5.6077903584,45.9635873122,5.2154784763,148
45.980127991,5.5329199743,45.7471514332,5.335998002,149
46.3659300594,5.9955366405,46.1108186646,5.8021707029,153
46.4330793974,4.9444268504,46.2897723429,4.8151963459,155
46.3329738299,6.059885186,46.1108186646,5.2154784763,160
45.8505224959,5.0622382658,45.759105783,4.8375365412,171
45.9541025451,5.3473536952,45.9024035982,5.3423163318,103
45.7604326845,5.9170688326,45.5699064305,5.6887666206,173
45.9522388959,4.8383059501,45.8774746712,4.7524122427,184
45.9915683308,4.8105127235,45.9400368834,4.7155915364,185
46.1213509305,5.028476389,45.9825609982,4.7295207892,191
45.7604326845,5.6980638122,45.6421687557,5.4705259746,193
45.2562993804,4.8923299493,44.9269002019,4.6684599434,E03
45.0731998117,4.8377597339,44.9851314904,4.3948804097,E05
45.2701248943,4.7070002806,44.9851314904,4.5798078823,E07
45.2523996256,4.6956398425,45.118899847,4.5344802809,E08
44.7462001766,4.3939598353,44.6180994991,4.351509928,E09
44.6449003872,4.3939598353,44.6180994991,4.1979899265,E10
44.9322000271,4.8923299493,44.8044999198,4.4187698265,E12
44.6180994991,4.4066697984,44.1274993568,4.0835704244,E13
44.6180994991,4.8055002336,43.9228002707,4.3432473854,E15
44.7389996899,4.3939598353,44.6180994991,4.2080201944,E16
44.7517000435,4.3939598353,44.6180994991,3.8557098962,E17
44.7348004153,4.7623898052,44.5526242967,4.597799616,E18
44.5596002393,4.7451898374,44.4805004296,4.6293501193,E19
44.5596002393,4.7451898374,44.2545999971,4.5649368483,E20
44.3811973485,4.7036603754,44.3610001284,4.6421569336,E29
44.8121126512,4.8419836486,44.7713020032,4.7810099624,E30
44.7601151631,4.8218454291,44.7329724525,4.7397962948,E31
45.3718995611,4.8231699724,45.1854995162,4.6684599434,E04
45.172806,2.45983,44.915684,2.22365,C1537
45.35732,2.45983,44.915684,2.32948,C1538
45.039406,3.105912,44.57341,2.957302,C1507
45.340954,3.088409,45.024452,2.757128,C1524
45.43809,2.559815,45.212307,2.32948,C1535
44.943573,2.45983,44.781273,2.350905,C1511
45.220642,2.446349,44.9257,2.340092,C1502
44.92857,2.447186,44.71108,2.193709,C1505
44.71108,2.196875,44.606674,2.027655,C1515
44.943573,2.507131,44.689217,2.356739,C1506
44.943573,2.45983,44.828136,2.171318,C1504
44.977306,2.840224,44.89664,2.433813,C1521
45.039406,3.105912,44.921932,2.840224,C1522
45.282257,2.867299,44.89983,2.433813,C1532
45.777966,3.147518,45.282257,2.658653,C1508
45.282257,2.658653,45.212307,2.32948,C1533
45.282257,3.088409,45.024452,2.658653,C1531
45.03787,3.221946,44.985313,3.088409,C1523
45.35312,2.478873,44.89983,2.32948,C1536
45.21778,2.494956,45.13828,2.32948,C1534
44.974888,2.45983,44.55559,1.891367,C1503
45.115284,3.100276,44.90494,2.424328,C1501
45.2451396092,4.8737403326,45.2373599552,4.850350436,000001127
45.2470503083,4.9139700908,45.0640295887,4.8138603332,000001129
45.0226794653,5.2937900243,44.9174696292,5.26256036,000001151
44.9268596098,5.4530202895,44.6136296137,4.8415200854,000001333
44.5715894785,5.2770500338,44.2390798353,4.7037401449,000001152
45.0486103358,5.0537800429,44.5595897611,4.7453600679,000001336
44.9674800138,5.4310696303,44.7516701141,5.3624400699,000001155
45.6097294181,5.1395803078,44.3622803121,4.0587301471,000001343
44.3578399491,5.1772104049,44.3109697722,5.0975396123,000001157
44.4843700471,5.3783599409,44.2425294879,5.0802299123,000001344
44.5711796289,4.8187804446,44.1373301321,4.6957401861,000001349
44.3729697539,4.8086202453,44.3495096208,4.7716301998,000001160
44.3163697767,5.8188002599,44.2056096518,5.4646197921,000001350
44.5595897611,5.1395396995,44.2847696626,4.697540401,000001351
44.4198600039,5.1395396995,44.2475096819,4.697540401,000001352
44.3624095742,5.6366000451,44.2056096518,5.0740196062,000001466
45.1811701217,5.0053199171,45.0523601044,4.8962503989,000001162
44.7584501316,5.5597403913,44.5493297467,5.3633297934,000001468
44.2887502978,5.5253500669,44.2520298852,5.4171097359,000001473
44.5715894785,5.0967503712,44.387349399,4.7453600679,000001475
44.4863196922,5.4044501295,44.3830693989,5.3551900325,000001501
44.5160796398,5.3515799729,44.3260903665,5.1395396995,000001510
44.2883597728,4.9308697214,44.2475096819,4.8298497797,000001576
44.3926800734,5.5498896152,44.3178395006,5.4597603096,000001584
44.5589200776,5.3799802735,44.4129894795,5.3448600228,000001591
44.3006501403,5.4592103419,44.2735303894,5.3778599254,000001619
44.6024603057,5.0116404738,44.564900414,4.9667499383,000001636
45.3726897758,4.9503002119,45.2599195159,4.7960796012,000001776
44.898140304,5.1827103841,44.8868397786,5.0184304516,000001801
44.6878803993,5.5977803771,44.6483896303,5.5656101318,000002008
45.0226794653,5.2937900243,44.9784002156,5.2467502779,000002011
44.8530201568,5.2177901882,44.7309996924,5.0154402572,000002017
44.7309996924,5.1342600671,44.5873501958,4.9404004636,000002020
44.5493297467,5.5370300082,44.5045693945,5.4278401891,000002023
44.4513297553,4.9455503474,44.403300078,4.8039397336,000002028
44.2780196691,5.4435200755,44.1677399812,5.0802299123,000002029
44.4843700471,5.5417002382,44.2425294879,4.9876401473,000002032
44.255120229,5.9425398683,44.1745199383,5.4967902837,000002037
45.2753295978,5.1027196732,45.218179915,4.9839303133,000002042
44.1880199524,5.4743697794,44.0906903547,5.3730403904,000002045
44.3878402116,5.3515799729,44.3330894236,4.9876401473,000002048
45.0023300027,5.536809651,44.0462698317,5.0288696286,000002051
44.7265200928,5.4268400904,44.1292904515,5.0208601219,000002054
44.619680225,5.2153900038,44.451349607,5.0284602092,000002057
44.8368604728,5.4085204066,44.7514596252,5.2597997631,000002060
44.663749534,5.6376897257,44.5038600756,5.317669796,000002063
44.7741195776,5.5977803771,44.6483896303,5.4852900372,000002066
44.6660499435,5.8208602786,44.5331700046,5.7061203246,000002069
44.9922295217,5.0154402572,44.7309996924,4.8207698547,000002104
44.4419098524,5.2864802579,44.414379409,5.2655504292,000002107
44.7584501316,5.3633297934,44.5391902891,4.7427899588,000002110
44.842789799,5.0209997887,44.7224302043,4.8914103305,000002111
44.3971603338,4.9008299272,44.3650504237,4.8703897033,000001165
44.7971300675,5.259210352,44.6896398149,5.0080301707,000002114
44.4286696813,5.2188099948,44.3771096299,5.1706096347,000001166
44.414379409,5.2699998561,44.3848796699,5.2347299444,000001171
44.3704897363,5.3515799729,44.3214902719,5.2451002681,000001175
45.3108499578,5.0303499352,45.1547100277,4.8663501165,000001132
44.3810299294,4.7069501853,44.3403498648,4.6900901453,000001176
44.7309996924,5.0633498235,44.523689394,4.9350897003,000001179
44.7553997899,5.0241202738,44.6678102111,4.858140061,000001182
44.613629538,5.1750599253,44.496579595,5.0607397451,000001184
44.964480259,5.4142202583,44.8702395915,5.3706199259,000001185
44.589080326,5.1362997204,44.5781399093,5.077780167,000001187
44.711079829,5.5977803771,44.6483896303,5.4020598282,000001197
44.7561600194,5.368959999,44.5702794657,5.2717497093,000001198
44.4868597513,4.7353000098,44.3688301539,4.697540401,000001199
45.2753295978,5.0766297487,45.218179915,4.9839303133,000001202
44.6983001496,5.2382498174,44.6830197398,5.1971198798,000001206
44.8368604728,5.368959999,44.7561600194,5.2621702379,000001211
45.0511004041,5.4510599062,44.964480259,5.4142202583,000001212
44.6019599052,5.0570203357,44.5782398266,5.0063104426,000001214
44.6513600431,5.0926196793,44.6110895801,5.0066204427,000001216
44.9377495276,5.0241202738,44.7233799128,4.8825203039,000001223
45.2699896377,5.0983404533,45.1914604212,5.0310203605,000001225
45.3402804174,5.0424998911,45.2208597955,4.8523599972,000001230
44.7642703304,5.368959999,44.6929394985,5.2614298246,000001137
44.964480259,5.4365696479,44.8691596137,5.4142202583,000001231
44.6124401724,5.0114698694,44.5419402031,4.9371898821,000001232
44.7896504038,5.368959999,44.7307404597,5.2597997631,000001140
44.5376194244,5.0607397451,44.5234704475,4.9630996731,000001233
44.5604501395,6.090139981,44.2056096518,5.4855600525,000001234
44.9132593711,5.1063298228,44.8744600619,5.0769701044,000001236
45.2134302229,4.9303002965,45.1798000213,4.9059798053,000001237
44.6433299743,4.9712901382,44.6272898086,4.9402303243,000001238
44.4576499534,4.8513096894,44.3458501006,4.697540401,000001242
44.5861602219,4.9340802976,44.5448295394,4.8916897207,000001243
44.7931997371,5.4085204066,44.7516701141,5.3686599944,000001245
45.0257797522,4.9253803333,44.9173493396,4.8473299443,000001246
44.8133298185,5.1652600205,44.7599597066,5.1123798796,000001141
45.0702195586,5.051109799,45.0440704097,4.8601701146,000001247
45.0486194452,4.9253803333,44.9173493396,4.8624300873,000001248
44.2789099773,5.3790498291,44.2522997791,5.2739902501,000001249
44.3006800153,5.542900081,44.2056096518,5.2770500338,000001250
44.8109498801,4.8835999463,44.752359897,4.797930373,000001258
44.7750103542,4.9176999809,44.6921095849,4.7664699512,000001259
44.9377495276,4.9257002029,44.751170315,4.797930373,000001260
44.8223099152,4.9176999809,44.6921095849,4.7924497902,000001261
45.2921503882,4.8868097652,45.1853494469,4.8055301914,000001146
44.7013202556,5.7563098542,44.6651901841,5.6817499292,000001262
44.8098299891,5.3702900086,44.7516701141,5.3120401221,000001263
44.3021899207,5.2739902501,44.2726701793,5.1578700725,000001264
45.0023300027,5.542900081,44.0505594449,5.0477496652,000001265
45.0023300027,5.542900081,44.0556598667,5.0488400346,000001266
44.255120229,5.6439297883,-77.9999998424609,5.4646197921,000001267
44.4360898809,5.0493801168,44.4284003838,5.0177003365,000001271
44.2861696802,4.9482802979,44.2339703145,4.819200219,000001274
45.0389793721,5.2931999794,45.0133702547,5.2434203091,000001277
44.6599599612,5.4295198574,44.6321195927,5.3705200949,000001278
44.5093302103,5.1149299364,44.4766696378,5.0290204053,000001283
45.1965994194,4.9784298857,45.1593002611,4.95027017,000001284
44.4773397575,4.8534199932,44.4439703763,4.8446799919,000001286
44.4188097332,4.904339995,44.2883597728,4.8408502027,000001297
44.7868997048,5.3702900086,44.7516701141,5.31666004,000001298
44.619680225,5.1362997204,44.5848094713,5.0768797957,000001299
44.2780196691,5.3343103089,44.2227494604,5.2601403342,000001300
44.964480259,5.4381900939,44.3624095742,5.1395396995,000001303
44.4843700471,5.3783599409,44.3624095742,5.1395396995,000001307
44.598439746,5.1988799488,44.5557895944,5.1362997204,000001308
45.3074800225,4.9503002119,45.2029600272,4.8133100317,000001312
45.3726897758,5.0424998911,45.1758998978,4.7960796012,000001313
45.2699998593,5.101340062,45.1695303795,4.8140498048,000001314
45.1948696365,4.9155998092,44.9173493396,4.8140498048,000001315
45.0709497342,5.4429597979,44.8952397379,4.8924801096,000001316
45.1236096046,4.9837299318,44.9268596098,4.8924801096,000001317
45.1948696365,5.3274097857,45.0409895478,4.8140498048,000001318
45.0741395876,5.0626903082,45.0179397507,4.8170303316,000001319
45.3399993731,5.1027196732,45.0455700015,4.93058996,000001321
44.6272499563,4.971310319,44.5448295394,4.8515403404,000001148
45.1215494659,5.0543401328,45.0406197354,4.8977202166,000001322
45.2699896377,5.1711197146,45.0486103358,5.0160704359,000001323
45.0486103358,5.0537800429,44.7252196749,4.9815103226,000001327
44.9310996584,5.1652600205,44.7124801436,4.8924801096,000001330
44.8757593137,5.0241202738,44.6752394072,4.7946900197,000001331
44.5855803947,5.2153900038,44.5160796398,4.7461597508,000001150
44.7312901296,5.1342600671,44.5873501958,4.9926202917,000001332
46.7653381029,4.4994294107,46.0239876559,4.0454901711,1020
46.3534616635,6.1369996897,46.0917144414,5.8159643668,1014
46.199494563,5.8249855194,46.1106446073,5.2153765728,1013
46.3899630428,5.8603451099,46.1511947683,5.5585099751,1021
46.2596712637,5.6532817413,46.171285305,5.2153765728,1012
46.2829121843,4.7840467405,45.9837760725,4.7188883065,1011
44.5594378585,5.1399783028,44.3602893547,4.7451065828,1015
44.9919071439,4.9786522085,44.6109492106,4.3892198781,1019
44.9919071439,4.9786522085,44.4052846618,4.1284477739,1017
45.7610637773,4.8629847062,45.2437320961,4.6686263741,1016
44.9919071439,4.9786522085,44.4056451584,4.3434062586,1018
45.5227061887,4.2648268185,45.4886849248,4.2149886905,29
45.612546176,4.4024718489,45.4427633447,4.0481501892,L11
45.4199024898,4.6143516269,45.2962634535,4.3939989632,L12
45.5227061887,4.4024718489,45.3297787476,3.8461440011,L13
45.6149205674,4.0953600838,45.5863577763,4.0481501892,300
45.4150267121,4.4411847393,45.2132907665,4.3435030494,L14
45.8183299123,4.3624817156,45.4795007269,4.1873994357,L15
45.5060695478,4.3947035855,45.41481969,4.1676996149,L16
45.41481969,4.6904693726,45.241231531,4.3939989632,L17
45.6443417997,4.2819151247,45.5268742485,4.1976665704,L10
46.042305694,4.1873994357,45.8183299123,4.0608342275,L20
46.0426189932,4.0967117463,45.8771054673,3.749728995,L21
